date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:11	45526/45526	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20May%202024%2014:52:11%20GMT	https://web.archive.org/web/20140123091312/http://www.monkeyquest.com/en/community	C:/My%20Web%20Sites/2014comunity/web.archive.org/web/20140123091312/http_/www.monkeyquest.com/en/community.html	(from )
10:52:11	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20May%202024%2014:52:12%20GMT	https://web.archive.org/robots.txt		(from )
10:52:12	15130/15130	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22655bcc42-3b1a%22	http://archive.org/includes/analytics.js?v=cf34f82	C:/My%20Web%20Sites/2014comunity/archive.org/includes/analytics2a5b.js	(from https://web.archive.org/web/20140123091312/http://www.monkeyquest.com/en/community)
10:52:12	31445/31445	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20Apr%202024%2016:51:26%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=t1Bf4PY_	C:/My%20Web%20Sites/2014comunity/web-static.archive.org/_static/js/bundle-playback8833.js	(from https://web.archive.org/web/20140123091312/http://www.monkeyquest.com/en/community)
10:52:13	126763/126763	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20Apr%202024%2016:50:50%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/2014comunity/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20140123091312/http://www.monkeyquest.com/en/community)
10:52:13	9867/9867	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Apr%202024%2016:50:13%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=S1zqJCYt	C:/My%20Web%20Sites/2014comunity/web-static.archive.org/_static/css/banner-styles52e6.css	(from https://web.archive.org/web/20140123091312/http://www.monkeyquest.com/en/community)
10:52:13	394960/394960	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20Apr%202024%2016:52:37%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/2014comunity/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20140123091312/http://www.monkeyquest.com/en/community)
10:52:14	5825/5825	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Apr%202024%2016:52:25%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	C:/My%20Web%20Sites/2014comunity/web-static.archive.org/_static/css/iconochive8307.css	(from https://web.archive.org/web/20140123091312/http://www.monkeyquest.com/en/community)
10:52:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2007%20May%202024%2014:52:14%20GMT	https://web.archive.org/web/20140123091312cs_/http://www.monkeyquest.com/monkeyquest/static/css/nvwg-ext/UI/Widgets/Form/CustomElement.css?v=42.0.7	C:/My%20Web%20Sites/2014comunity/web.archive.org/web/20140123091312cs_/http_/www.monkeyquest.com/monkeyquest/static/css/nvwg-ext/UI/Widgets/Form/CustomElement769e.css	(from https://web.archive.org/web/20140123091312/http://www.monkeyquest.com/en/community)
10:52:14	1803/1803	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20May%202024%2014:52:15%20GMT	https://web.archive.org/web/20140123090301cs_/http://www.monkeyquest.com/monkeyquest/static/css/nvwg-ext/UI/Widgets/Form/CustomElement.css?v=42.0.7	C:/My%20Web%20Sites/2014comunity/web.archive.org/web/20140123090301cs_/http_/www.monkeyquest.com/monkeyquest/static/css/nvwg-ext/UI/Widgets/Form/CustomElement769e.css	(from https://web.archive.org/web/20140123091312/http://www.monkeyquest.com/en/community)
