date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:12	40962/40962	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20May%202024%2021:29:12%20GMT	https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123120446/http_/www.monkeyquest.com/en/index.html	(from )
17:29:12	146/146	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202024%2021:29:13%20GMT	https://web.archive.org/robots.txt		(from )
17:29:13	15130/15130	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2264ba9b54-3b1a%22	http://archive.org/includes/analytics.js?v=cf34f82	C:/My%20Web%20Sites/2014home/archive.org/includes/analytics2a5b.js	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:13	31445/31445	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20Apr%202024%2016:51:26%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=t1Bf4PY_	C:/My%20Web%20Sites/2014home/web-static.archive.org/_static/js/bundle-playback8833.js	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:14	126763/126763	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20Apr%202024%2016:50:47%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/2014home/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:14	9867/9867	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Apr%202024%2016:50:13%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=S1zqJCYt	C:/My%20Web%20Sites/2014home/web-static.archive.org/_static/css/banner-styles52e6.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:14	394960/394960	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20Apr%202024%2016:50:48%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/2014home/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:15	5825/5825	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Apr%202024%2016:51:26%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	C:/My%20Web%20Sites/2014home/web-static.archive.org/_static/css/iconochive8307.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2021:29:16%20GMT	https://web.archive.org/web/20140123120446cs_/http://www.monkeyquest.com/monkeyquest/static/css/nvwg-ext/UI/Widgets/Form/CustomElement.css?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123120446cs_/http_/www.monkeyquest.com/monkeyquest/static/css/nvwg-ext/UI/Widgets/Form/CustomElement769e.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:15	1805/1805	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20May%202024%2021:29:16%20GMT	https://web.archive.org/web/20140123090301cs_/http://www.monkeyquest.com/monkeyquest/static/css/nvwg-ext/UI/Widgets/Form/CustomElement.css?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123090301cs_/http_/www.monkeyquest.com/monkeyquest/static/css/nvwg-ext/UI/Widgets/Form/CustomElement769e.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:16	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2021:29:16%20GMT	https://web.archive.org/web/20140123120446cs_/http://www.monkeyquest.com/monkeyquest/static/css/monkeyquest.css?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123120446cs_/http_/www.monkeyquest.com/monkeyquest/static/css/monkeyquest.9769e.delayed	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:16	62432/62432	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20May%202024%2021:29:17%20GMT	https://web.archive.org/web/20140123090305cs_/http://www.monkeyquest.com/monkeyquest/static/css/monkeyquest.css?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123090305cs_/http_/www.monkeyquest.com/monkeyquest/static/css/monkeyquest769e.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:16	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2021:29:17%20GMT	https://web.archive.org/web/20140123120446cs_/http://www.monkeyquest.com/monkeyquest/static/css/pages/lander/home/default.css?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123120446cs_/http_/www.monkeyquest.com/monkeyquest/static/css/pages/lander/home/default769e.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:16	7112/7112	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20May%202024%2021:29:17%20GMT	https://web.archive.org/web/20140123120448cs_/http://www.monkeyquest.com/monkeyquest/static/css/pages/lander/home/default.css?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123120448cs_/http_/www.monkeyquest.com/monkeyquest/static/css/pages/lander/home/default769e.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
