date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:22	146/146	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202024%2017:15:22%20GMT	https://web.archive.org/robots.txt		(from )
13:15:22	7925/7925	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2006%20May%202024%2017:15:23%20GMT	https://web.archive.org/web/20140928115843/http://www.monkeyquest.com/	C:/My%20Web%20Sites/test/web.archive.org/web/20140928115843/http_/www.monkeyquest.com/index.html	(from )
13:15:22	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2017:15:23%20GMT	https://web.archive.org/web/20140928115843cs_/http://www.monkeyquest.com/css/mamabar.css	C:/My%20Web%20Sites/test/web.archive.org/web/20140928115843cs_/http_/www.monkeyquest.com/css/mamabar.css	(from https://web.archive.org/web/20140928115843/http://www.monkeyquest.com/)
13:15:23	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2017:15:23%20GMT	https://web.archive.org/web/20140928115843cs_/http://www.monkeyquest.com/css/closed.css	C:/My%20Web%20Sites/test/web.archive.org/web/20140928115843cs_/http_/www.monkeyquest.com/css/closed.css	(from https://web.archive.org/web/20140928115843/http://www.monkeyquest.com/)
13:15:23	31445/31445	U-----	200	untouched ('')	application/javascript	date:Fri,%2005%20Apr%202024%2016:51:58%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=t1Bf4PY_	C:/My%20Web%20Sites/test/web-static.archive.org/_static/js/bundle-playback8833.js	(from https://web.archive.org/web/20140928115843/http://www.monkeyquest.com/)
13:15:23	133715/133715	---MCZ	403	error ('FORBIDDEN')	text/html	date:Mon,%2006%20May%202024%2017:15:24%20GMT	https://web.archive.org/web/20140928115843im_/http://images.neopets.com/mamabar/logo_nick_mini.jpg	C:/My%20Web%20Sites/test/web.archive.org/web/20140928115843im_/http_/images.neopets.com/mamabar/logo_nick_mini.jpg	(from https://web.archive.org/web/20140928115843/http://www.monkeyquest.com/)
13:15:23	126763/126763	U-----	200	untouched ('')	application/javascript	date:Fri,%2005%20Apr%202024%2016:50:47%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/test/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20140928115843/http://www.monkeyquest.com/)
13:15:23	394960/394960	U-----	200	untouched ('')	application/javascript	date:Fri,%2005%20Apr%202024%2016:52:37%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/test/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20140928115843/http://www.monkeyquest.com/)
13:15:23	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2017:15:24%20GMT	https://web.archive.org/web/20140928115843im_/http://www.monkeyquest.com/images/faqs.png	C:/My%20Web%20Sites/test/web.archive.org/web/20140928115843im_/http_/www.monkeyquest.com/images/faqs.png	(from https://web.archive.org/web/20140928115843/http://www.monkeyquest.com/)
13:16:04	5825/5825	U-----	200	untouched ('OK')	text/css	date:Fri,%2005%20Apr%202024%2016:51:26%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	C:/My%20Web%20Sites/test/web-static.archive.org/_static/css/iconochive8307.css	(from https://web.archive.org/web/20140928115843/http://www.monkeyquest.com/)
